season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
Spring,y0,m1,h0,No,w6,No,Clear,0.24,0.2879,0.81,0,3,13,16
Spring,y0,m1,h1,No,w6,No,Clear,0.22,0.2727,0.8,0,8,32,40
Spring,y0,m1,h2,No,w6,No,Clear,0.22,0.2727,0.8,0,5,27,32
Spring,y0,m1,h3,No,w6,No,Clear,0.24,0.2879,0.75,0,3,10,13
Spring,y0,m1,h4,No,w6,No,Clear,0.24,0.2879,0.75,0,0,1,1
Spring,y0,m1,h5,No,w6,No,Mist,0.24,0.2576,0.75,0.0896,0,1,1
Spring,y0,m1,h6,No,w6,No,Clear,0.22,0.2727,0.8,0,2,0,2
Spring,y0,m1,h7,No,w6,No,Clear,0.2,0.2576,0.86,0,1,2,3
Spring,y0,m1,h8,No,w6,No,Clear,0.24,0.2879,0.75,0,1,7,8
Spring,y0,m1,h9,No,w6,No,Clear,0.32,0.3485,0.76,0,8,6,14
Spring,y0,m1,h10,No,w6,No,Clear,0.38,0.3939,0.76,0.2537,12,24,36
Spring,y0,m1,h11,No,w6,No,Clear,0.36,0.3333,0.81,0.2836,26,30,56
Spring,y0,m1,h12,No,w6,No,Clear,0.42,0.4242,0.77,0.2836,29,55,84
Spring,y0,m1,h13,No,w6,No,Mist,0.46,0.4545,0.72,0.2985,47,47,94
Spring,y0,m1,h14,No,w6,No,Mist,0.46,0.4545,0.72,0.2836,35,71,106
Spring,y0,m1,h15,No,w6,No,Mist,0.44,0.4394,0.77,0.2985,40,70,110
Spring,y0,m1,h16,No,w6,No,Mist,0.42,0.4242,0.82,0.2985,41,52,93
Spring,y0,m1,h17,No,w6,No,Mist,0.44,0.4394,0.82,0.2836,15,52,67
Spring,y0,m1,h18,No,w6,No,Snow,0.42,0.4242,0.88,0.2537,9,26,35
Spring,y0,m1,h19,No,w6,No,Snow,0.42,0.4242,0.88,0.2537,6,31,37
Spring,y0,m1,h20,No,w6,No,Mist,0.4,0.4091,0.87,0.2537,11,25,36
Spring,y0,m1,h21,No,w6,No,Mist,0.4,0.4091,0.87,0.194,3,31,34
Spring,y0,m1,h22,No,w6,No,Mist,0.4,0.4091,0.94,0.2239,11,17,28
Spring,y0,m1,h23,No,w6,No,Mist,0.46,0.4545,0.88,0.2985,15,24,39
Spring,y0,m1,h0,No,w0,No,Mist,0.46,0.4545,0.88,0.2985,4,13,17
Spring,y0,m1,h1,No,w0,No,Mist,0.44,0.4394,0.94,0.2537,1,16,17
Spring,y0,m1,h2,No,w0,No,Mist,0.42,0.4242,1,0.2836,1,8,9
Spring,y0,m1,h3,No,w0,No,Mist,0.46,0.4545,0.94,0.194,2,4,6
Spring,y0,m1,h4,No,w0,No,Mist,0.46,0.4545,0.94,0.194,2,1,3
Spring,y0,m1,h6,No,w0,No,Snow,0.42,0.4242,0.77,0.2985,0,2,2
Spring,y0,m1,h7,No,w0,No,Mist,0.4,0.4091,0.76,0.194,0,1,1
Spring,y0,m1,h8,No,w0,No,Snow,0.4,0.4091,0.71,0.2239,0,8,8
Spring,y0,m1,h9,No,w0,No,Mist,0.38,0.3939,0.76,0.2239,1,19,20
Spring,y0,m1,h10,No,w0,No,Mist,0.36,0.3485,0.81,0.2239,7,46,53
Spring,y0,m1,h11,No,w0,No,Mist,0.36,0.3333,0.71,0.2537,16,54,70
Spring,y0,m1,h12,No,w0,No,Mist,0.36,0.3333,0.66,0.2985,20,73,93
Spring,y0,m1,h13,No,w0,No,Mist,0.36,0.3485,0.66,0.1343,11,64,75
Spring,y0,m1,h14,No,w0,No,Snow,0.36,0.3485,0.76,0.194,4,55,59
Spring,y0,m1,h15,No,w0,No,Snow,0.34,0.3333,0.81,0.1642,19,55,74
Spring,y0,m1,h16,No,w0,No,Snow,0.34,0.3333,0.71,0.1642,9,67,76
Spring,y0,m1,h17,No,w0,No,Clear,0.34,0.3333,0.57,0.194,7,58,65
Spring,y0,m1,h18,No,w0,No,Mist,0.36,0.3333,0.46,0.3284,10,43,53
Spring,y0,m1,h19,No,w0,No,Clear,0.32,0.2879,0.42,0.4478,1,29,30
Spring,y0,m1,h20,No,w0,No,Clear,0.3,0.2727,0.39,0.3582,5,17,22
Spring,y0,m1,h21,No,w0,No,Clear,0.26,0.2273,0.44,0.3284,11,20,31
Spring,y0,m1,h22,No,w0,No,Clear,0.24,0.2121,0.44,0.2985,0,9,9
Spring,y0,m1,h23,No,w0,No,Clear,0.22,0.2273,0.47,0.1642,0,8,8
Spring,y0,m1,h0,No,w1,Yes,Clear,0.22,0.197,0.44,0.3582,0,5,5
Spring,y0,m1,h1,No,w1,Yes,Clear,0.2,0.1667,0.44,0.4179,0,2,2
Spring,y0,m1,h4,No,w1,Yes,Clear,0.16,0.1364,0.47,0.3881,0,1,1
Spring,y0,m1,h5,No,w1,Yes,Clear,0.16,0.1364,0.47,0.2836,0,3,3
Spring,y0,m1,h6,No,w1,Yes,Clear,0.14,0.1061,0.5,0.3881,0,30,30
Spring,y0,m1,h7,No,w1,Yes,Clear,0.14,0.1364,0.5,0.194,1,63,64
Spring,y0,m1,h8,No,w1,Yes,Clear,0.14,0.1212,0.5,0.2836,1,153,154
Spring,y0,m1,h9,No,w1,Yes,Clear,0.16,0.1364,0.43,0.3881,7,81,88
Spring,y0,m1,h10,No,w1,Yes,Clear,0.18,0.1667,0.43,0.2537,11,33,44
Spring,y0,m1,h11,No,w1,Yes,Clear,0.2,0.1818,0.4,0.3284,10,41,51
Spring,y0,m1,h12,No,w1,Yes,Clear,0.22,0.2121,0.35,0.2985,13,48,61
Spring,y0,m1,h13,No,w1,Yes,Clear,0.24,0.2121,0.35,0.2836,8,53,61
Spring,y0,m1,h14,No,w1,Yes,Clear,0.26,0.2424,0.3,0.2836,11,66,77
Spring,y0,m1,h15,No,w1,Yes,Clear,0.26,0.2424,0.3,0.2537,14,58,72
Spring,y0,m1,h16,No,w1,Yes,Clear,0.26,0.2424,0.3,0.2537,9,67,76
Spring,y0,m1,h17,No,w1,Yes,Clear,0.24,0.2273,0.3,0.2239,11,146,157
Spring,y0,m1,h18,No,w1,Yes,Clear,0.24,0.2576,0.32,0.1045,9,148,157
Spring,y0,m1,h19,No,w1,Yes,Clear,0.2,0.2576,0.47,0,8,102,110
Spring,y0,m1,h20,No,w1,Yes,Clear,0.2,0.2273,0.47,0.1045,3,49,52
Spring,y0,m1,h21,No,w1,Yes,Clear,0.18,0.197,0.64,0.1343,3,49,52
Spring,y0,m1,h22,No,w1,Yes,Clear,0.14,0.1515,0.69,0.1343,0,20,20
Spring,y0,m1,h23,No,w1,Yes,Clear,0.18,0.2121,0.55,0.1045,1,11,12
Spring,y0,m1,h0,No,w2,Yes,Clear,0.16,0.1818,0.55,0.1045,0,5,5
Spring,y0,m1,h1,No,w2,Yes,Clear,0.16,0.1818,0.59,0.1045,0,2,2
Spring,y0,m1,h2,No,w2,Yes,Clear,0.14,0.1515,0.63,0.1343,0,1,1
Spring,y0,m1,h4,No,w2,Yes,Clear,0.14,0.1818,0.63,0.0896,0,2,2
Spring,y0,m1,h5,No,w2,Yes,Clear,0.12,0.1515,0.68,0.1045,0,4,4
Spring,y0,m1,h6,No,w2,Yes,Clear,0.12,0.1515,0.74,0.1045,0,36,36
Spring,y0,m1,h7,No,w2,Yes,Clear,0.12,0.1515,0.74,0.1343,2,92,94
Spring,y0,m1,h8,No,w2,Yes,Clear,0.14,0.1515,0.69,0.1642,2,177,179
Spring,y0,m1,h9,No,w2,Yes,Clear,0.16,0.1515,0.64,0.2239,2,98,100
Spring,y0,m1,h10,No,w2,Yes,Mist,0.16,0.1364,0.69,0.3284,5,37,42
Spring,y0,m1,h11,No,w2,Yes,Clear,0.22,0.2121,0.51,0.2985,7,50,57
Spring,y0,m1,h12,No,w2,Yes,Clear,0.22,0.2273,0.51,0.1642,12,66,78
Spring,y0,m1,h13,No,w2,Yes,Clear,0.24,0.2273,0.56,0.194,18,79,97
Spring,y0,m1,h14,No,w2,Yes,Clear,0.26,0.2576,0.52,0.2239,9,54,63
Spring,y0,m1,h15,No,w2,Yes,Clear,0.28,0.2727,0.52,0.2537,17,48,65
Spring,y0,m1,h16,No,w2,Yes,Clear,0.3,0.2879,0.49,0.2537,15,68,83
Spring,y0,m1,h17,No,w2,Yes,Clear,0.28,0.2727,0.48,0.2239,10,202,212
Spring,y0,m1,h18,No,w2,Yes,Clear,0.26,0.2576,0.48,0.194,3,179,182
Spring,y0,m1,h19,No,w2,Yes,Clear,0.24,0.2576,0.48,0.1045,2,110,112
Spring,y0,m1,h20,No,w2,Yes,Clear,0.24,0.2576,0.48,0.1045,1,53,54
Spring,y0,m1,h21,No,w2,Yes,Clear,0.22,0.2727,0.64,0,0,48,48
Spring,y0,m1,h22,No,w2,Yes,Clear,0.22,0.2576,0.64,0.0896,1,34,35
Spring,y0,m1,h23,No,w2,Yes,Clear,0.2,0.2273,0.69,0.0896,2,9,11
Spring,y0,m1,h0,No,w3,Yes,Clear,0.2,0.2576,0.64,0,0,6,6
Spring,y0,m1,h1,No,w3,Yes,Clear,0.16,0.197,0.74,0.0896,0,6,6
Spring,y0,m1,h2,No,w3,Yes,Clear,0.16,0.197,0.74,0.0896,0,2,2
Spring,y0,m1,h4,No,w3,Yes,Clear,0.24,0.2273,0.48,0.2239,0,2,2
Spring,y0,m1,h5,No,w3,Yes,Clear,0.22,0.2273,0.47,0.1642,0,3,3
Spring,y0,m1,h6,No,w3,Yes,Clear,0.2,0.197,0.47,0.2239,0,33,33
Spring,y0,m1,h7,No,w3,Yes,Clear,0.18,0.1818,0.43,0.194,1,87,88
Spring,y0,m1,h8,No,w3,Yes,Clear,0.2,0.1818,0.4,0.2985,3,192,195
Spring,y0,m1,h9,No,w3,Yes,Clear,0.22,0.197,0.37,0.3284,6,109,115
Spring,y0,m1,h10,No,w3,Yes,Clear,0.22,0.197,0.37,0.3284,4,53,57
Spring,y0,m1,h11,No,w3,Yes,Clear,0.26,0.2273,0.33,0.3284,12,34,46
Spring,y0,m1,h12,No,w3,Yes,Clear,0.26,0.2273,0.33,0.3284,5,74,79
Spring,y0,m1,h13,No,w3,Yes,Clear,0.28,0.2576,0.3,0.2985,6,65,71
Spring,y0,m1,h14,No,w3,Yes,Clear,0.3,0.2879,0.28,0.194,10,52,62
Spring,y0,m1,h15,No,w3,Yes,Clear,0.3,0.2879,0.28,0.194,7,55,62
Spring,y0,m1,h16,No,w3,Yes,Clear,0.3,0.3182,0.28,0.0896,4,85,89
Spring,y0,m1,h17,No,w3,Yes,Clear,0.24,0.2273,0.38,0.194,4,186,190
Spring,y0,m1,h18,No,w3,Yes,Clear,0.24,0.2424,0.38,0.1343,3,166,169
Spring,y0,m1,h19,No,w3,Yes,Clear,0.24,0.2576,0.38,0.1045,5,127,132
Spring,y0,m1,h20,No,w3,Yes,Clear,0.22,0.2273,0.47,0.1642,7,82,89
Spring,y0,m1,h21,No,w3,Yes,Clear,0.2,0.197,0.51,0.194,3,40,43
Spring,y0,m1,h22,No,w3,Yes,Clear,0.18,0.197,0.55,0.1343,1,41,42
Spring,y0,m1,h23,No,w3,Yes,Clear,0.2,0.2576,0.47,0,1,18,19
Spring,y0,m1,h0,No,w4,Yes,Clear,0.18,0.2424,0.55,0,0,11,11
Spring,y0,m1,h1,No,w4,Yes,Clear,0.16,0.2273,0.64,0,0,4,4
Spring,y0,m1,h2,No,w4,Yes,Clear,0.16,0.2273,0.64,0,0,2,2
Spring,y0,m1,h4,No,w4,Yes,Mist,0.16,0.197,0.64,0.0896,0,1,1
Spring,y0,m1,h5,No,w4,Yes,Mist,0.14,0.1818,0.69,0.0896,0,4,4
Spring,y0,m1,h6,No,w4,Yes,Mist,0.14,0.1667,0.63,0.1045,0,36,36
Spring,y0,m1,h7,No,w4,Yes,Mist,0.16,0.2273,0.59,0,0,95,95
Spring,y0,m1,h8,No,w4,Yes,Clear,0.16,0.2273,0.59,0,3,216,219
Spring,y0,m1,h9,No,w4,Yes,Mist,0.18,0.2424,0.51,0,6,116,122
Spring,y0,m1,h10,No,w4,Yes,Clear,0.2,0.2576,0.47,0,3,42,45
Spring,y0,m1,h11,No,w4,Yes,Clear,0.22,0.2576,0.44,0.0896,2,57,59
Spring,y0,m1,h12,No,w4,Yes,Clear,0.26,0.2879,0.35,0,6,78,84
Spring,y0,m1,h13,No,w4,Yes,Clear,0.26,0.2727,0.35,0.1045,12,55,67
Spring,y0,m1,h14,No,w4,Yes,Clear,0.28,0.2727,0.36,0.1642,11,59,70
Spring,y0,m1,h15,No,w4,Yes,Clear,0.28,0.2727,0.36,0,8,54,62
Spring,y0,m1,h16,No,w4,Yes,Clear,0.26,0.2576,0.38,0.1642,12,74,86
Spring,y0,m1,h17,No,w4,Yes,Clear,0.22,0.2273,0.51,0.1642,9,163,172
Spring,y0,m1,h18,No,w4,Yes,Clear,0.22,0.2273,0.51,0.1343,5,158,163
Spring,y0,m1,h19,No,w4,Yes,Clear,0.22,0.2576,0.55,0.0896,3,109,112
Spring,y0,m1,h20,No,w4,Yes,Clear,0.2,0.2121,0.51,0.1642,3,66,69
Spring,y0,m1,h21,No,w4,Yes,Mist,0.22,0.2121,0.55,0.2239,0,48,48
Spring,y0,m1,h22,No,w4,Yes,Mist,0.22,0.2121,0.51,0.2836,1,51,52
Spring,y0,m1,h23,No,w4,Yes,Mist,0.2,0.197,0.59,0.194,4,19,23
Spring,y0,m1,h0,No,w5,Yes,Mist,0.2,0.197,0.64,0.194,4,13,17
Spring,y0,m1,h1,No,w5,Yes,Mist,0.2,0.197,0.69,0.2239,2,5,7
Spring,y0,m1,h2,No,w5,Yes,Mist,0.2,0.197,0.69,0.2239,0,1,1
Spring,y0,m1,h4,No,w5,Yes,Mist,0.2,0.2121,0.69,0.1343,0,1,1
Spring,y0,m1,h5,No,w5,Yes,Snow,0.22,0.2727,0.55,0,0,5,5
Spring,y0,m1,h6,No,w5,Yes,Mist,0.2,0.2576,0.69,0,8,26,34
Spring,y0,m1,h7,No,w5,Yes,Clear,0.2,0.2121,0.69,0.1343,8,76,84
Spring,y0,m1,h8,No,w5,Yes,Clear,0.2,0.197,0.51,0.2537,20,190,210
Spring,y0,m1,h9,No,w5,Yes,Clear,0.2,0.1818,0.47,0.2985,9,125,134
